file_path,label
MI CSV\cellula_MI_data_1.csv,Left
MI CSV\cellula_MI_data_2.csv,Right
MI CSV\cellula_MI_data_3.csv,Left
MI CSV\cellula_MI_data_4.csv,Left
MI CSV\cellula_MI_data_5.csv,Left
MI CSV\cellula_MI_data_6.csv,Right
MI CSV\cellula_MI_data_7.csv,Right
MI CSV\cellula_MI_data_8.csv,Left
MI CSV\cellula_MI_data_9.csv,Left
MI CSV\cellula_MI_data_10.csv,Right
MI CSV\cellula_MI_data_11.csv,Left
MI CSV\cellula_MI_data_12.csv,Right
MI CSV\cellula_MI_data_13.csv,Left
MI CSV\cellula_MI_data_14.csv,Left
MI CSV\cellula_MI_data_15.csv,Left
MI CSV\cellula_MI_data_16.csv,Right
MI CSV\cellula_MI_data_17.csv,Right
MI CSV\cellula_MI_data_18.csv,Left
MI CSV\cellula_MI_data_19.csv,Right
MI CSV\cellula_MI_data_20.csv,Left
MI CSV\cellula_MI_data_21.csv,Right
MI CSV\cellula_MI_data_22.csv,Left
MI CSV\cellula_MI_data_23.csv,Left
MI CSV\cellula_MI_data_24.csv,Left
MI CSV\cellula_MI_data_25.csv,Left
MI CSV\cellula_MI_data_26.csv,Right
MI CSV\cellula_MI_data_27.csv,Right
MI CSV\cellula_MI_data_28.csv,Right
MI CSV\cellula_MI_data_29.csv,Left
MI CSV\cellula_MI_data_30.csv,Right
MI CSV\cellula_MI_data_31.csv,Left
MI CSV\cellula_MI_data_32.csv,Left
MI CSV\cellula_MI_data_33.csv,Left
MI CSV\cellula_MI_data_34.csv,Right
MI CSV\cellula_MI_data_35.csv,Left
MI CSV\cellula_MI_data_36.csv,Right
MI CSV\cellula_MI_data_37.csv,Right
MI CSV\cellula_MI_data_38.csv,Left
MI CSV\cellula_MI_data_39.csv,Right
MI CSV\cellula_MI_data_40.csv,Left
MI CSV\cellula_MI_data_41.csv,Left
MI CSV\cellula_MI_data_42.csv,Left
MI CSV\cellula_MI_data_43.csv,Left
MI CSV\cellula_MI_data_44.csv,Right
MI CSV\cellula_MI_data_45.csv,Left
